23:56, Tinie Tempah, Written In The Stars
23:53, ROBIN SCHULZ/JAMES BLUNT, OK
23:48, SOFI TUKKER, Best Friend feat. NERVO, The Knocks & Alisa Ueno
23:45, David Guetta & Afrojack, Dirty Sexy Money feat. Charli XCX & French Montana
23:42, Mike Posner, I Took A Pill In Ibiza (Seeb Remix)
23:38, Kaleo, Way Down We Go
23:35, AVICII, WAKE ME UP
23:31, Feder feat. Alex Aiono, Lordly
23:28, MARI FERRARI/MISS MARY, MARIA, MARIA
23:24, K-Maro, Sous L'oeil De L'ange
23:21, Deepend ft. Graham Candy, Waiting For The Summer
23:18, DJ_SNAKE/JUSTIN BIEBER, LET ME LOVE YOU
23:14, NATHAN GOSHEN, PI_THINKING ABOUT IT
23:10, Merk & Kremont, Sad Story (Out Of Luck)
23:07, Kosheen, Catch
23:03, ELDJAY/FEDUK, ROZOVOE VINO
23:00, Imagine Dragons, WHATEVER IT TAKES
22:57, Klingande, PUMPED UP
22:53, LEA RUE, I Can't Say No!
22:50, Tove Lo, DISCO TITS
22:45, LP, Suspicion (Going Deeper Remix)
22:42, Jay-Z & Linkin Park, Numb
22:39, ZAYN, Dusk Till Dawn ft. Sia
22:36, JASON DERULO, GET UGLY
22:32, KADEBOSTANY, MIND IF I STAY (ASTERO REMIX)
22:29, Milky Chance, Stolen Dance
22:26, J_BALVIN/WILLY WILLIAM, MI GENTE
22:22, Twenty One Pilots, Stressed Out
22:19, CHARLIE PUTH/SELENA GOMES, WE DON'T TALK ANYMORE
22:16, Sherrie Sherrie & The Ware, Nana Song (ft. Nina)
22:12, Jonas Blue, Perfect Strangers ft. JP Cooper
22:10, VANOTEK/ENELI, TELL ME WHO
22:06, Calvin Harris, Summer
22:03, Oceana, Endless Summer
22:00, JP Cooper, She's On My Mind
21:56, Mylene Farmer, L�Amour N�est Rien
21:51, Jaded, In The Morning
21:48, AVICII/RITA ORA, LONELY TOGETHER (ALAN WARKER REMIX)
21:43, DJ_SNAKE/LAUV, A DIFFERENT WAY
21:41, Ofenbach, Be Mine
21:37, Post Malone feat. 21 Savage, rockstar
21:34, Alan Walker, ALONE
21:31, Alle Farben, PI_BAD IDEAS
21:28, Katy Perry, Roulette
